SampleID,SampleType,Ext.date,PCR.date,Seq.date,ID_Number,Date,Time,Season,General_Loc,Biszone,Lat,Long,Species
41,sample,20240118,20240122,20240304,41,2001-08-22,20:30:00,Summer,Hat Mountain,N,51.7659761,-115.5772317,BighornSheep
43,sample,20240119,20240122,20240304,43,27-7-2022,10:30:00,Summer,cascade fire road south of scotch,Y,51.6291283,-115.8315404,Elk
51,sample,20240207,20240214,20240304,51,2006-08-23,16:58:00,Summer,Scotch Pasture,Y,51.66608,-115.83819,Bison
52,sample,20240219,20240221,20240304,52,26-7-2022,12:30:00,Summer,Divide,Y,51.721733,-115.9324695,BighornSheep
57,sample,20240207,20240214,20240304,57,25-6-2022,15:00:00,Spring,Winy sincline across from cabin,Y,51.546124,-115.727628,BighornSheep
60,sample,20240207,20240214,20240304,60,25-7-2022,16:45:00,Summer,Divide Pass,Y,51.7386235,-115.9220592,Bison
61,sample,20240207,20240214,20240304,61,27-6-2022,16:25:00,Spring,Middle Panther Saltlick,Y,51.59211,-115.655099,BighornSheep
62,sample,20240119,20240122,20240304,62,2001-08-22,20:30:00,Summer,Hat Mountain,N,51.7659762,-115.5772317,BighornSheep
63,sample,20240125,20240212,20240304,63,25-7-2022,17:15:00,Summer,Divide Pass,Y,51.7399238,-115.9228608,Bison
64,sample,20240219,20240221,20240304,64,2008-08-22,14:20:00,Summer,Tyrell Flats,Y,51.67232,-115.798617,Bison
65,sample,20240119,20240122,20240304,65,2010-08-22,11:32:00,Summer,Tyrell Slopes,Y,51.684062,-115.795818,Bison
66,sample,20240219,20240221,20240304,66,2010-08-22,11:30:00,Summer,Tyrell Slopes,Y,51.6835706,-115.8078054,Bison
67,sample,20240219,20240221,20240304,67,2006-08-23,17:00:00,Summer,Scotch Pasture,Y,51.6603,-115.83763,Bison
69,sample,20240207,20240214,20240304,69,2008-08-22,14:20:00,Summer,Tyrell Flats,Y,51.672248,-115.798619,Bison
70,sample,20240207,20240214,20240304,70,2010-08-22,15:29:00,Summer,Tyrell Flats,Y,51.673924,-115.792833,Bison
71,sample,20240131,20240201,20240304,71,2008-08-22,14:37:00,Summer,Tyrell Flats,Y,51.672312,-115.798777,Bison
74,sample,20240207,20240214,20240304,74,25-7-2022,18:10:00,Summer,Divide Pass,Y,51.752544,-115.930706,Bison
76,sample,20240125,20240212,20240304,76,2010-08-22,15:00:00,Summer,Tyrell Flats,Y,51.6738507,-115.7874683,Bison
77,sample,20240125,20240212,20240304,77,25-7-2022,17:10:00,Summer,Divide Pass,Y,51.7394937,-115.9227622,Bison
79,sample,20240119,20240122,20240304,79,15-7-2022,18:02:00,Summer,Scotch Pasture,Y,51.667169,-115.838057,Bison
80,sample,20240119,20240122,20240304,80,25-7-2022,16:25:00,Summer,Divide Pass,Y,51.7393421,-115.9230372,Bison
83,sample,20240125,20240212,20240304,83,19-7-2022,12:40:00,Summer,Bow Lake,N,51.655941,-116.417303,Elk
85,sample,20240118,20240122,20240304,85,30-3-2023,11:48:00,Winter,YHT East Bighorn,N,51.743386,-115.532321,Elk
87,sample,20240219,20240221,20240304,87,24-7-2022,13:00:00,Summer,Dogrib,N,51.68761,-115.5816,Elk
88,sample,20240219,20240221,20240304,88,30-3-2023,09:32:00,Winter,YHT East Bighorn,N,51.744273,-115.537831,Elk
89,sample,20240119,20240122,20240304,89,2010-08-22,15:15:00,Summer,Tyrell Flats,Y,51.6737222,-115.7929322,Bison
92,sample,20240125,20240212,20240304,92,2002-06-23,14:50:00,Spring,Sheep Split,N,51.171253,-115.69991,BighornSheep
95,sample,20240219,20240221,20240304,95,24-7-2022,12:30:00,Summer,Dogrib,N,51.688455,-115.576998,Elk
96,sample,20240207,20240214,20240304,96,24-7-2022,12:20:00,Summer,Dogrib,N,51.688511,-115.576854,Elk
97,sample,20240207,20240214,20240304,97,2008-08-22,14:58:00,Summer,Tyrell Flats,Y,51.672366,-115.798703,Bison
98,sample,20240207,20240214,20240304,98,2010-08-22,14:40:00,Summer,Tyrell Flats,Y,51.6746092,-115.784957,Bison
99,sample,20240118,20240122,20240304,99,2010-08-22,11:30:00,Summer,Tyrell Slopes,Y,51.6833927,-115.8077152,Bison
100,sample,20240130,20240201,20240304,100,30-3-2023,09:54:00,Winter,YHT East Bighorn,N,51.745393,-115.528304,Elk
102,sample,20240219,20240221,20240304,102,2009-01-23,12:50:00,Winter,Middle Panther,Y,51.602353,-115.639529,BighornSheep
103,sample,20240207,20240214,20240304,103,2009-01-23,14:10:00,Winter,Middle Panther,Y,51.599557,-115.6442701,Bison
104,sample,20240219,20240221,20240304,104,2009-01-23,14:15:00,Winter,Middle Panther,Y,51.599497,-115.644248,Bison
105,sample,20240207,20240214,20240304,105,2009-01-23,14:20:00,Winter,Middle Panther,Y,51.5992273,-115.6437612,Bison
106,sample,20240207,20240214,20240304,106,2009-01-23,14:30:00,Winter,Middle Panther,Y,51.5994033,-115.6439211,BighornSheep
107,sample,20240130,20240201,20240304,107,2009-01-23,13:10:00,Winter,Middle Panther,Y,51.5970322,-115.6430172,Bison
109,sample,20240219,20240221,20240304,109,2011-01-23,10:30:00,Winter,YHT Pasture,N,51.748565,-115.565209,Elk
110,sample,20240219,20240221,20240304,110,2009-01-23,15:00:00,Winter,MIddle Panther,Y,51.5984849,-115.6430769,Bison
111,sample,20240207,20240214,20240304,111,2009-01-23,14:50:00,Winter,MIddle Panther,Y,51.5988701,-115.6433632,Bison
114,sample,20240124,20240126,20240304,114,2009-01-23,13:05:00,Winter,Middle Panther,Y,51.60247,-115.63987,BighornSheep
115,sample,20240219,20240221,20240304,115,2008-01-23,14:40:00,Winter,Middle Panther,Y,51.584729,-115.66608,Bison
117,sample,20240207,20240214,20240304,117,2011-01-23,10:55:00,Winter,YHT Pasture,N,51.748887,-115.565661,Elk
118,sample,20240207,20240214,20240304,118,2011-01-23,10:30:00,Winter,YHT Pasture,N,51.748565,-115.565209,Elk
120,sample,20240219,20240221,20240304,120,2011-01-23,13:30:00,Winter,Hat Mountain,N,51.765337,-115.572079,BighornSheep
121,sample,20240207,20240214,20240304,121,2011-01-23,13:00:00,Winter,Hat Mountain,N,51.76534,-115.572137,BighornSheep
122,sample,20240207,20240214,20240304,122,2011-01-23,13:00:00,Winter,Hat Mountain,N,51.765343,-115.5732137,BighornSheep
124,sample,20240219,20240221,20240304,124,2011-01-23,13:33:00,Winter,Hat Mountain,N,51.7653031,-115.572713,BighornSheep
125,sample,20240207,20240214,20240304,125,2011-01-23,13:10:00,Winter,Hat Mountain,N,51.7653434,-115.5720812,BighornSheep
126,sample,20240219,20240221,20240304,126,2008-01-23,14:30:00,Winter,Middle Panther,Y,51.58528,-115.66635,Bison
127,sample,20240219,20240221,20240304,127,2011-01-23,13:30:00,Winter,Hat Mountain,N,51.7653412,-115.572843,BighornSheep
128,sample,20240219,20240221,20240304,128,2011-01-23,13:10:00,Winter,Hat Mountain,N,51.7653564,-115.5725043,BighornSheep
129,sample,20240207,20240214,20240304,129,17-5-2023,11:20:00,Spring,Mare Flats,N,51.737797,-115.5740103,Elk
132,sample,20240130,20240201,20240304,132,2007-03-23,13:34:00,Winter,Wapiti Flats,Y,51.6002,-115.66705,Bison
136,sample,20240219,20240221,20240304,136,2006-04-23,13:00:00,Winter,Middle Panther,Y,51.59742,-115.65441,Bison
137,sample,20240207,20240214,20240304,137,2012-05-23,18:15:00,Spring,Wapiti Creek,Y,51.693479,-115.710913,Bison
138,sample,20240219,20240221,20240304,138,2012-07-23,10:15:00,Summer,Windy Pasture,Y,51.54043,-115.72696,Elk
138.1,sample,20240207,20240214,20240304,138.1,17-5-2023,11:08:00,Spring,Mare Flats,N,51.737702,-115.57575,Elk
139.1,sample,20240219,20240221,20240304,139.1,2002-06-23,14:50:00,Spring,Sheep Split,N,51.171251,-115.699916,BighornSheep
139.2,sample,20240207,20240214,20240304,139.2,17-5-2023,11:58:00,Spring,Mare Flats,N,51.7470796,-115.5740707,Elk
141,sample,20240130,20240201,20240304,141,30-3-2023,12:05:00,Winter,YHT East Bighorn,N,51.741557,-115.535779,Elk
142,sample,20240219,20240221,20240304,142,30-3-2023,12:09:00,Winter,YHT East Bighorn,N,51.740548,-115.535253,Elk
145,sample,20240130,20240201,20240304,145,15-3-2023,12:15:00,Winter,Labyrinth Burn,N,51.661789,-115.407489,BighornSheep
146,sample,20240130,20240201,20240304,146,15-3-2023,14:26:00,Winter,Labyrinth Burn,N,51.669889,-115.423317,BighornSheep
148,sample,20240130,20240201,20240304,148,15-3-2023,13:55:00,Winter,Labyrinth Burn,N,51.669249,-115.427209,BighornSheep
201,sample,20240219,20240221,20240304,201,2003-04-23,09:00:00,Winter,YHT East Bighorn,N,51.739169,-115.533926,Elk
202,sample,20240124,20240126,20240304,202,2003-04-23,09:06:00,Winter,YHT East Bighorn,N,51.73963,-115.53359,Elk
203,sample,20240219,20240221,20240304,203,2003-04-23,09:11:00,Winter,YHT East Bighorn,N,51.739535,-115.533253,Elk
204,sample,20240124,20240126,20240304,204,2003-04-23,09:15:00,Winter,YHT East Bighorn,N,51.739465,-115.53331,Elk
205,sample,20240207,20240214,20240304,205,2003-04-23,09:21:00,Winter,YHT East Bighorn,N,51.739366,-115.533017,Elk
206,sample,20240207,20240214,20240304,206,2003-04-23,09:26:00,Winter,YHT East Bighorn,N,51.739425,-115.532925,Elk
207,sample,20240207,20240214,20240304,207,2003-04-23,09:31:00,Winter,YHT East Bighorn,N,51.73936,-115.53256,Elk
208,sample,20240219,20240221,20240304,208,2003-04-23,09:36:00,Winter,YHT East Bighorn,N,51.739363,-115.532464,Elk
209,sample,20240124,20240126,20240304,209,2003-04-23,09:42:00,Winter,YHT East Bighorn,N,51.739278,-115.531876,Elk
210,sample,20240207,20240214,20240304,210,2003-04-23,09:50:00,Winter,YHT East Bighorn,N,51.739257,-115.531813,Elk
213,sample,20240207,20240214,20240304,213,2003-04-23,15:30:00,Winter,Labyrinth Burn,N,51.669092,-115.42989,BighornSheep
220,sample,20240207,20240214,20240304,220,20-5-2023,12:09:00,Spring,Divide,Y,51.6806859,-115.8707954,Bison
221,sample,20240219,20240221,20240304,221,17-5-2023,16:15:00,Spring,Hat Mountain,N,51.7583081,-115.5791924,BighornSheep
222,sample,20240124,20240126,20240304,222,17-5-2023,15:34:00,Spring,Hat Mountain,N,51.7617309,-115.5767941,BighornSheep
225,sample,20240207,20240214,20240304,225,2001-07-23,11:16:00,Summer,Sheep Cliffs YHT,N,51.70666,-115.57745,BighornSheep
226,sample,20240124,20240126,20240304,226,2001-07-23,11:09:00,Summer,Sheep Cliffs YHT,N,51.70668,-115.57729,BighornSheep
300,sample,20240219,20240221,20240304,300,19-5-2023,15:00:00,Spring,Tyrell Flats,Y,51.6755959,-115.7828964,Bison
302,sample,20240207,20240214,20240304,302,20-5-2023,16:00:00,Spring,Divide,Y,51.7205589,-115.919554,BighornSheep
307,sample,20240207,20240214,20240304,307,17-5-2023,11:20:00,Spring,Mare Flats,N,51.7378714,-115.5742186,Elk
308,sample,20240219,20240221,20240304,308,16-06-2023,10:40:00,Spring,Hat road,N,51.764404,-115.546153,Elk
309,sample,20240207,20240214,20240304,309,19-5-2023,17:00:00,Spring,Coyote Creek,Y,51.6855645,-115.8073206,Bison
310,sample,20240130,20240201,20240304,310,17-5-2023,15:45:00,Spring,Hat Mountain,N,51.7617309,-115.5767941,BighornSheep
311,sample,20240219,20240221,20240304,311,17-5-2023,15:34:00,Spring,Hat Mountain,N,51.7617309,-115.5767941,BighornSheep
312,sample,20240124,20240126,20240304,312,20-5-2023,16:05:00,Spring,Divide,Y,51.7206497,-115.9194581,BighornSheep
315,sample,20240219,20240221,20240304,315,19-5-2023,09:50:00,Spring,Scotch Pasture,Y,51.6625072,-115.8381633,Bison
316,sample,20240219,20240221,20240304,316,17-5-2023,11:48:00,Spring,Mare Flats,N,51.7413997,-115.5742662,Elk
317,sample,20240125,20240212,20240304,317,19-5-2023,10:10:00,Spring,Scotch Pasture,Y,51.6630895,-115.8365466,Bison
318,sample,20240125,20240212,20240304,318,19-5-2023,10:47:00,Spring,Scotch Pasture,Y,51.6648121,-115.8368631,Bison
319,sample,20240219,20240221,20240304,319,16-5-2023,15:00:00,Spring,Dog Rib Burn,N,51.664927,-115.4095685,BighornSheep
320,sample,20240130,20240201,20240304,320,19-5-2023,15:15:00,Spring,Tyrell Flats,Y,51.6751287,-115.7833846,Bison
321,sample,20240219,20240221,20240304,321,20-5-2023,10:00:00,Spring,Scotch Pasture,Y,51.6657911,-115.8256874,Bison
322,sample,20240125,20240212,20240304,322,20-5-2023,12:02:00,Spring,Divide Burn,Y,51.6808973,-115.8702858,Bison
324,sample,20240124,20240126,20240304,324,20-5-2023,16:00:00,Spring,Divide,Y,51.7206497,-115.9194581,BighornSheep
325,sample,20240207,20240214,20240304,325,18-5-2023,09:11:00,Spring,West Lakes,N,51.7183694,-115.6610735,Elk
326,sample,20240207,20240214,20240304,326,16-5-2023,15:34:00,Spring,Dog Rib Burn,N,51.664977,-115.409609,BighornSheep
327,sample,20240207,20240214,20240304,327,17-5-2023,12:11:00,Spring,Mare Flats,N,51.738914,-115.5746913,Elk
331,sample,20240219,20240221,20240304,331,21-5-2023,10:23:00,Spring,Scotch Meadows,Y,51.6646576,-115.8403485,Elk
332,sample,20240207,20240214,20240304,332,21-05-2023,10:30:00,Spring,Scotch meadows,Y,51.664762,-115.841068,Elk
334,sample,20240130,20240201,20240304,334,29-06-2023,11:26:00,Spring,Scalp Creek CW Road,N,51.78765,-115.62818,Elk
336,sample,20240207,20240214,20240304,336,24-06-2023,16:30:00,Summer,YHT Back Pasture,N,51.75624,-115.58717,BighornSheep
338,sample,20240207,20240214,20240304,338,2002-06-23,12:00:00,Spring,Airstrip,N,51.2032949,-115.5445835,Elk
339,sample,20240219,20240221,20240304,339,2005-07-23,15:20:00,Spring,Baldspot Norquay,N,51.19696,-115.58481,BighornSheep
340,sample,20240219,20240221,20240304,340,2002-06-23,13:50:00,Spring,Minnewanka Dam,N,51.239816,-115.492051,BighornSheep
352,sample,20240219,20240221,20240304,352,2005-07-23,18:58:00,Spring,Lookout at Two Jack Lake,N,51.2314105,-115.4962283,BighornSheep
353,sample,20240125,20240212,20240304,353,30-06-2023,18:26:00,Summer,"MW, Two Jack DUA",N,51.231388,-115.496045,BighornSheep
354,sample,20240207,20240214,20240304,354,25-7-2023,16:30:00,Summer,Two Jack DUA,N,51.231199,-115.496895,BighornSheep
358,sample,20240219,20240221,20240304,358,27-06-2023,09:34:00,Summer,Cadet Camp,N,51.2142666,-115.5357272,Elk
360,sample,20240207,20240214,20240304,360,29-06-2023,09:51:00,Spring,YHT Pasture,N,51.73807,-115.56415,Elk
361,sample,20240207,20240214,20240304,361,28-06-2023,16:50:00,Spring,YHT old ranch road,N,51.7464746,-115.5791036,BighornSheep
362,sample,20240207,20240214,20240304,362,29-06-2023,10:04:00,Spring,YHT Pasture,N,51.74042,-115.55866,Elk
364,sample,20240207,20240214,20240304,364,29-06-2023,16:43:00,Spring,YHT Pasture,N,51.73807,-115.56415,Elk
365,sample,20240125,20240212,20240304,365,29-06-2023,16:30:00,Summer,YHT Back Pasture,N,51.75624,-115.58717,BighornSheep
